A.C.A.A	A.C.A.C	A.C.A.G	A.C.A.T	C.C.A.A	C.C.A.C	C.C.A.G	C.C.A.T	G.C.A.A	G.C.A.C	G.C.A.G	G.C.A.T	T.C.A.A	T.C.A.C	T.C.A.G	T.C.A.T	A.C.G.A	A.C.G.C	A.C.G.G	A.C.G.T	C.C.G.A	C.C.G.C	C.C.G.G	C.C.G.T	G.C.G.A	G.C.G.C	G.C.G.G	G.C.G.T	T.C.G.A	T.C.G.C	T.C.G.G	T.C.G.T	A.C.T.A	A.C.T.C	A.C.T.G	A.C.T.T	C.C.T.A	C.C.T.C	C.C.T.G	C.C.T.T	G.C.T.A	G.C.T.C	G.C.T.G	G.C.T.T	T.C.T.A	T.C.T.C	T.C.T.G	T.C.T.T	A.T.A.A	A.T.A.C	A.T.A.G	A.T.A.T	C.T.A.A	C.T.A.C	C.T.A.G	C.T.A.T	G.T.A.A	G.T.A.C	G.T.A.G	G.T.A.T	T.T.A.A	T.T.A.C	T.T.A.G	T.T.A.T	A.T.C.A	A.T.C.C	A.T.C.G	A.T.C.T	C.T.C.A	C.T.C.C	C.T.C.G	C.T.C.T	G.T.C.A	G.T.C.C	G.T.C.G	G.T.C.T	T.T.C.A	T.T.C.C	T.T.C.G	T.T.C.T	A.T.G.A	A.T.G.C	A.T.G.G	A.T.G.T	C.T.G.A	C.T.G.C	C.T.G.G	C.T.G.T	G.T.G.A	G.T.G.C	G.T.G.G	G.T.G.T	T.T.G.A	T.T.G.C	T.T.G.G	T.T.G.T
MMRC02G7BM_2	4	3	0	0	5	3	0	2	4	4	0	0	4	6	3	6	0	1	0	1	3	0	0	2	1	1	0	1	1	3	0	1	7	6	0	7	5	1	2	3	2	1	0	3	14	5	0	13	3	3	2	3	2	2	1	1	1	0	1	2	2	0	1	5	3	0	2	6	0	2	2	3	5	1	6	3	3	2	4	3	4	0	1	0	2	2	1	2	1	1	1	3	7	2	2	2
MMRC02G7BM_1	5	4	1	4	9	8	2	3	3	5	1	3	2	6	0	8	3	0	0	2	1	3	0	1	1	2	0	2	2	4	0	10	8	3	2	5	7	7	4	6	5	0	1	1	14	17	2	18	3	3	5	7	4	3	3	3	0	0	1	4	5	0	0	8	6	1	3	4	3	0	4	4	5	1	0	2	1	3	2	5	3	0	3	5	3	0	2	4	3	0	5	2	5	1	5	11
PD26400_1	24	14	3	22	22	13	3	20	9	8	0	9	11	17	0	13	3	5	1	8	3	7	1	10	3	5	1	7	11	9	1	22	33	15	31	20	22	15	19	18	11	16	20	18	39	27	14	28	14	9	24	23	8	12	12	16	7	3	6	15	11	7	8	25	18	12	18	22	14	14	14	16	10	17	12	24	6	15	8	16	8	5	7	6	11	6	9	23	2	3	12	17	19	13	8	34
MMRC02G7BM_subclonal	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
PD26400_3	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	0	1	1	2	0	0	1	1	0	0	2	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	2	1	0	1	3	1	0	2	1	1	1	0	1	0	0	1	1	0	0	3	0	0	0	0	3	0	0	4
PD26423_2	7	1	0	2	5	1	2	3	4	2	1	6	4	4	1	8	3	1	0	1	0	0	1	2	1	1	1	0	3	0	0	1	5	4	11	7	3	4	3	5	4	6	8	6	1	5	4	8	4	0	1	7	4	0	3	4	0	1	1	1	5	1	1	1	9	2	5	4	4	2	5	5	3	2	3	6	0	4	1	9	8	0	1	4	3	1	1	5	0	1	0	4	6	1	2	7
PD26400_subclonal	13	18	1	12	8	9	2	12	13	7	1	7	6	9	0	24	4	7	1	5	3	4	0	3	2	3	1	2	4	2	1	7	18	12	12	23	23	3	8	14	13	14	15	12	49	30	16	45	7	5	12	21	7	5	10	10	4	6	6	7	15	4	5	8	16	2	9	13	8	9	8	4	7	8	3	4	3	6	6	12	6	2	4	5	2	2	7	3	1	1	4	1	6	1	1	13
PD26423_subclonal	29	15	5	14	36	11	2	15	15	12	4	12	27	23	4	30	30	15	0	10	66	38	4	26	25	14	8	12	47	27	2	39	29	21	13	18	38	20	9	36	61	53	16	46	54	33	9	51	40	7	4	13	26	8	18	34	16	4	6	10	44	8	16	37	45	8	4	23	16	6	7	16	15	8	10	15	38	10	8	29	13	2	2	11	44	12	2	40	25	1	3	15	69	3	7	36
PD26423_1	14	11	1	12	8	7	3	13	13	0	2	12	21	14	5	24	10	7	2	10	6	1	0	2	6	2	1	8	6	9	1	13	18	18	25	14	20	15	26	23	9	13	18	13	31	29	9	34	10	5	1	15	7	2	3	10	2	1	4	7	10	2	4	6	17	7	9	11	3	5	7	5	6	8	3	13	11	8	5	7	3	1	6	6	4	3	4	4	3	1	2	5	5	4	1	15
PD26419_subclonal	9	9	1	5	4	11	0	12	9	9	1	8	9	16	0	9	11	8	2	3	2	4	3	7	1	0	2	2	8	11	2	27	11	7	9	12	14	6	4	18	9	6	17	11	68	20	11	34	3	2	6	11	9	5	9	12	1	3	2	8	9	1	7	11	11	3	8	7	4	4	1	5	4	4	2	7	11	8	7	9	0	1	4	1	1	3	6	8	0	1	7	7	1	2	7	6
