Signature.Subs.01	Signature.Subs.02	Signature.Subs.05	Signature.Subs.08	Signature.Subs.09	Signature.Subs.13	Signature.Subs.18	MM1	mutations
PD26400_NA	0.0311803548516115	0.0679193832289241	0.42060095608834	0.224194861328583	0.256104444502542	0	0	0	510
PD26400_6	0.0454368744311923	0.0336308834606006	0.373046526205986	0.173502975682865	0.374382740219356	0	0	0	5556
PD26400_4	0.0158729687211945	0.0998252672527111	0.618535380550759	0.265766383475336	0	0	0	0	991
PD26400_2	0.0141672245798347	0.124644614225106	0.582142266945988	0.279045894249071	0	0	0	0	504
PD26400_1	0.0341414929302658	0.135936662988713	0.44817919909114	0.381742644989881	0	0	0	0	279
PD26400_3	0.00000000260114808504384	0.0687219051380308	0.24409693699936	0.497114503014461	0.190066652247	0	0	0	135
PD26401_3	0.084355612918478	0	0.383271006444722	0	0.5323733806368	0	0	0	2898
PD26401_2	0.0988907811686797	0.0500632646596503	0.627707409941873	0.223338544229797	0	0	0	0	1620
PD26401_1	0.0959957111531819	0.054714610883393	0.603790335353542	0.245499342609883	0	0	0	0	2069
PD26401_NA	0.0575545937696779	0.0614042704226351	0.395391725227302	0.253400544135923	0.232248866444463	0	0	0	470
PD26402_6	0.0491310681427259	0.0468391702646528	0.417220328676074	0.200571293784624	0.286238139131923	0	0	0	4069
PD26402_1	0.0330113504338396	0.0996385417791606	0.601516856514847	0.265833251272153	0	0	0	0	756
PD26402_3	0.0404828431442639	0.08844428380483	0.525877960426758	0.345194912624148	0	0	0	0	165
PD26402_7	0.0312625725655388	0.0427366181711479	0.405154024202219	0.220402525429008	0.300444259632087	0	0	0	593
PD26402_NA	0.00435833949664866	0.0327614343968079	0.280553588933153	0.331661611377989	0.350665025795401	0	0	0	567
PD26403_1	0.000416223845643559	0	0.402297710210461	0.175715259189065	0.186946736371701	0	0	0.234624070383129	3105
PD26403_7	0.0732053337871276	0	0.465602886731994	0.125457179946237	0.335734599534642	0	0	0	5678
PD26403_2	0.00770012828006469	0	0.738029250457645	0.25427062126229	0	0	0	0	1248
PD26403_3	0.00179765409190403	0	0.512351770666766	0.351160485468193	0.134690089773137	0	0	0	282
PD26403_4	0.044204869945485	0	0.611047349922321	0.263464682301311	0	0	0	0.0812830978308834	173
PD26403_NA	0.0222027961593315	0	0.366582181053255	0.190965948983406	0.238363513723925	0	0	0.181885560080083	1069
PD26404_2	0.0832091721401728	0.0316028754985159	0.426433273105088	0.113818738325657	0.344935940930566	0	0	0	4133
PD26404_NA	0.0382374606534185	0.0546466580871643	0.329870543733102	0.143157277422751	0.434088060103564	0	0	0	174
PD26405_1	0.0000000697812470107167	0.0592306124725903	0.525247331233297	0.415521986512865	0	0	0	0	1049
PD26405_3	0.0568156822501417	0.0291071020300964	0.437671744216399	0.170087359422775	0.306318112080588	0	0	0	4005
PD26405_2	0.000000234284948768222	0.0505773367110681	0.366986774065944	0.384526977422325	0.197908677515714	0	0	0	209
PD26406_6	0.0323584810092824	0.0447668654739728	0.42974734728025	0.141594529764604	0.351532776471891	0	0	0	3181
PD26406_3	0.0119233309671211	0.138765739021387	0.550191551130695	0.299119378880797	0	0	0	0	339
PD26406_2	0.00577482649375248	0.140468547815672	0.681231677489727	0	0.172524948200849	0	0	0	931
PD26406_5	0.0000000000528169933362171	0.117229921707959	0.668985118975501	0.213784959263723	0	0	0	0	215
