A.C.A.A	A.C.A.C	A.C.A.G	A.C.A.T	C.C.A.A	C.C.A.C	C.C.A.G	C.C.A.T	G.C.A.A	G.C.A.C	G.C.A.G	G.C.A.T	T.C.A.A	T.C.A.C	T.C.A.G	T.C.A.T	A.C.G.A	A.C.G.C	A.C.G.G	A.C.G.T	C.C.G.A	C.C.G.C	C.C.G.G	C.C.G.T	G.C.G.A	G.C.G.C	G.C.G.G	G.C.G.T	T.C.G.A	T.C.G.C	T.C.G.G	T.C.G.T	A.C.T.A	A.C.T.C	A.C.T.G	A.C.T.T	C.C.T.A	C.C.T.C	C.C.T.G	C.C.T.T	G.C.T.A	G.C.T.C	G.C.T.G	G.C.T.T	T.C.T.A	T.C.T.C	T.C.T.G	T.C.T.T	A.T.A.A	A.T.A.C	A.T.A.G	A.T.A.T	C.T.A.A	C.T.A.C	C.T.A.G	C.T.A.T	G.T.A.A	G.T.A.C	G.T.A.G	G.T.A.T	T.T.A.A	T.T.A.C	T.T.A.G	T.T.A.T	A.T.C.A	A.T.C.C	A.T.C.G	A.T.C.T	C.T.C.A	C.T.C.C	C.T.C.G	C.T.C.T	G.T.C.A	G.T.C.C	G.T.C.G	G.T.C.T	T.T.C.A	T.T.C.C	T.T.C.G	T.T.C.T	A.T.G.A	A.T.G.C	A.T.G.G	A.T.G.T	C.T.G.A	C.T.G.C	C.T.G.G	C.T.G.T	G.T.G.A	G.T.G.C	G.T.G.G	G.T.G.T	T.T.G.A	T.T.G.C	T.T.G.G	T.T.G.T
MMRC006BBM_1_chr1_chr1-768253-107332554-gain	7	3	0	2	5	2	0	1	3	1	0	0	12	2	0	7	0	0	1	1	3	4	0	4	2	1	0	0	26	6	1	32	2	4	8	3	5	5	1	5	6	1	4	4	96	17	5	38	4	1	0	1	6	1	1	1	3	0	0	3	4	2	2	4	4	2	2	2	4	3	3	3	0	4	1	3	0	4	1	5	2	0	2	3	5	2	0	4	2	0	0	2	9	0	5	0
MMRC006BBM_2_chr1_chr1-768253-107332554-gain	2	2	0	2	1	0	0	0	1	1	0	1	1	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	2	0	4	3	0	3	0	1	0	1	1	1	0	0	1	8	3	1	6	1	0	0	1	0	3	0	0	0	0	1	0	2	1	0	2	3	1	1	1	1	0	0	2	0	2	0	1	0	0	0	0	0	0	0	2	2	0	1	2	0	1	0	0	1	0	0	0
MMRC006BBM_2_chr1_chr1-149187101-226659349-gain_2	3	2	1	1	2	3	0	3	2	1	0	0	4	1	1	3	3	1	0	0	0	0	0	0	3	1	0	0	11	3	1	21	3	2	2	2	6	1	1	1	4	1	3	2	77	6	8	30	2	0	1	1	2	2	0	3	3	0	2	1	3	0	1	2	1	0	1	0	1	1	0	3	0	0	0	1	1	2	2	0	0	0	0	1	0	0	2	4	2	0	0	0	3	2	3	3
MMRC006BBM_1_chr1_chr1-149187101-226659349-gain_2	1	1	0	1	1	0	0	2	0	0	0	3	7	0	0	0	0	1	0	2	0	0	0	0	1	0	0	3	8	1	0	13	2	0	0	2	2	1	0	3	1	2	0	1	25	6	1	14	2	0	0	0	1	0	0	0	1	1	0	0	2	0	1	0	0	0	1	0	2	0	0	1	1	2	0	1	1	0	0	2	0	0	0	1	1	0	0	1	2	0	0	2	1	0	0	2
MMRC006BBM_3_chr1_chr1-149187101-226659349-gain_2	1	0	0	0	1	1	1	0	0	0	0	2	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	0	0	0	0	4	0	1	0	0	2	1	0	1	0	0	1	0	1	0	2	1	0	0	0	0	1	0	0	1	1	1	0	1	2	1	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
PD26408_1_chr1_chr1-144896319-249172187-gain	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	2	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	4	1	2	1	2	1	1	1	5	0	1	0	1	2	0	1	0	0	1	1	0	1	1	0	0	0	1	0	0	1	1	0	1	1	1	0	0	0	0	0	0	1	0	1	1	1	2	0	0	1	0	1	1	1	0	0	0	1	1	1	1	2
PD26408_2_chr1_chr1-144896319-249172187-gain	0	2	0	0	1	1	0	0	1	1	0	2	1	1	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	3	0	2	1	0	1	0	1	4	1	0	2	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	1	3	1	0	1	1	1	0	0	1	0	0	0	2	1	1	0	2	0	0	0	1	0	1	2	0	1	0	0	3	0	0	1
MMRC02G7BM_1_chr1_chr1-120487871-249172187-gain	4	3	1	3	9	8	2	2	3	5	1	3	2	5	0	8	3	0	0	2	1	3	0	1	1	2	0	2	1	4	0	10	6	3	2	5	6	7	3	6	5	0	1	1	14	17	2	17	3	3	5	7	4	3	3	3	0	0	1	4	5	0	0	7	6	1	3	4	3	0	4	4	5	1	0	2	1	3	2	5	3	0	3	3	3	0	2	3	3	0	5	1	2	1	5	11
MMRC02G7BM_2_chr1_chr1-120487871-249172187-gain	2	0	0	0	1	0	0	0	0	1	0	0	2	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	1	0	2	0	0	1	1	1	0	0	0	4	1	0	3	1	0	1	1	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	3	0	1	1	1	3	0	2	1	0	1	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	2	0
V0D57M_1_chr1_chr1-160821549-195932954-gain	0	0	0	1	1	0	0	0	0	0	0	2	3	0	0	1	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	2	0	1	0	0	0	0	0	0	3	4	0	4	0	0	1	1	0	0	0	1	0	0	0	1	1	0	0	0	5	1	0	3	0	0	0	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	3	0	0	0	1	1	0	1	0
