Signature.Subs.01	Signature.Subs.02	Signature.Subs.05	Signature.Subs.08	Signature.Subs.09	Signature.Subs.13	Signature.Subs.18	MM1	mutations
MMRC006BBM	0.0201131567721338	0.307741986455287	0.340758735887301	0.167125907012689	0	0.164260213872589	0	0	15884
MMRC00GABM	0.0480658115254124	0.0773278263645937	0.487599456653593	0.146078135050104	0.240928770406297	0	0	0	4947
MMRC00GIBM	0.0403805623661711	0.0281544611447196	0.455606799766123	0.297623588352678	0.178234588370308	0	0	0	5579
MMRC01LGBM	0.0462696926301746	0	0.493531141660043	0.187109173205081	0.273089992504702	0	0	0	6480
MMRC01Q1BM	0.0383327210391347	0.0355097422958124	0.437763503751049	0.176586321599064	0.31180771131494	0	0	0	5264
MMRC01YHBM	0.0869482894739002	0.033917755684307	0.522705632656472	0	0.244579372006469	0	0.111848950178852	0	3159
MMRC023ZBM	0.0303490396696709	0.0461514628770244	0.324912894642789	0.145210995597699	0.207292650934818	0	0	0.246082956277999	9859
MMRC0244BM	0.053406047442657	0	0.474776519278961	0	0.471817433278382	0	0	0	5654
MMRC02G7BM	0.0194467448635254	0.128083263030041	0.447647208258612	0.232831509695929	0.171991274151893	0	0	0	8032
MMRC02GIBM	0.0415313503496796	0.0446284065281628	0.430510091198726	0.1153135754464	0.368016576477031	0	0	0	4725
PD26400a	0.0380784297302316	0.0439497446056885	0.391485120559759	0.188363758963927	0.338122946140393	0	0	0	6726
PD26400c	0.0376143880872263	0.0527089946342726	0.413009094640794	0.197989864080448	0.298677658557258	0	0	0	7645
PD26401a	0.0914981376025039	0.0382938906756496	0.396132900555746	0.161345311770222	0.312729759395878	0	0	0	6125
PD26401c	0.0899175966840793	0.0411032960517391	0.405748161071163	0.173102616030526	0.290128330162492	0	0	0	6439
PD26402a	0.042413712907671	0.046460886249159	0.397252921201069	0.22172395161478	0.292148528027321	0	0	0	5253
PD26402c	0.0412388494644996	0.0525807287961822	0.413467681748437	0.223421998311323	0.269290741679559	0	0	0	5950
PD26403a	0.0663586520018585	0	0.46285219320489	0.155286626047971	0.31550252874528	0	0	0	6588
PD26403c	0.0582438415106416	0	0.514029924105986	0.152495105315632	0.27523112906774	0	0	0	7450
PD26403d	0.0449510792438738	0	0.426713258306734	0.148075220951354	0.272086378225528	0	0	0.10817406327251	9612
PD26404a	0.0815275651339156	0.0318574027395945	0.421908632575552	0.114455567871796	0.350250831679142	0	0	0	4236
PD26404c	0.0800018114316564	0.0317205015325217	0.419715907845003	0.115011231639903	0.353550547550916	0	0	0	4222
PD26405a	0.0408804590100014	0.0363059332340671	0.442064615355026	0.222847223894929	0.257901768505976	0	0	0	5308
PD26405c	0.0404283293090747	0.0368400526305146	0.442097169509428	0.226416892573975	0.254217555977008	0	0	0	5364
PD26406a	0.0282162343753354	0.0577618351544955	0.434830160210955	0.15931440715685	0.319877363102365	0	0	0	3951
PD26406c	0.026310183801876	0.0707123998575135	0.460250169722602	0.131203344822479	0.31152390179553	0	0	0	4474
PD26407a	0.0607957647616837	0	0.430263175702824	0.119733868604463	0.389207190931029	0	0	0	2389
PD26407c	0.0628462832497658	0	0.442240431610181	0.122723581371451	0.372189703768602	0	0	0	2554
PD26408a	0.09301358956416	0.0399051478177609	0.395957400688013	0.184019830652167	0.287104031277899	0	0	0	5707
PD26408c	0.0953143169420072	0.0420815987941647	0.372529267132751	0.176934949093953	0.313139868037125	0	0	0	5222
PD26409a	0.0535530615673466	0.0268234882697662	0.460678241319096	0.145936030602707	0.313009178241085	0	0	0	4156
PD26409c	0.0528377328071332	0.0303138353051425	0.490498528466175	0.142163711280764	0.284186192140786	0	0	0	4590
PD26410d	0.0637987610661511	0.0777308684340841	0.467234679036249	0	0.284662169516305	0	0.106573521947211	0	5852
PD26411a	0.0528290256602887	0.0450646212176288	0.29531824847614	0.17163790059251	0.25133687134581	0	0	0.183813332707622	8215
PD26411c	0.0500068154560509	0.042795984540949	0.284672496529486	0.162964754535822	0.273687823263084	0	0	0.185872125674608	6834
PD26411d	0.0538290309424817	0.0420477869388127	0.24134017080219	0.172311413693336	0.311622041129169	0	0	0.178849556494011	3588
PD26412a	0.0491737156691062	0.0615307935784258	0.315171579284179	0.223802524045767	0.215370527025062	0	0	0.134950860397461	8496
PD26412c	0.0667304726782799	0.0629248362065697	0.431450850104762	0.178081387528761	0.260812453481627	0	0	0	5650
PD26412d	0.0787905070338764	0.0655213314140257	0.39412704982454	0.196024892503605	0.198896002473006	0	0	0.0666402167509472	985
PD26414a	0.0391604656199011	0.102613728765756	0.530559745395561	0.128035477596658	0.199630582622124	0	0	0	1797
PD26414b	0.024229356576185	0.137825634011676	0.273738445020225	0.149581065000101	0.139648850898676	0	0	0.274976648493137	8218
PD26414e	0.0336788433651122	0.110620262157506	0.541499165086108	0.129808349739665	0.184393379651609	0	0	0	2552
PD26414f	0.0248363243657848	0.138160307835314	0.318061177570023	0.15361511804616	0.165304449241174	0	0	0.200022622941545	5017
PD26414g	0.0232564882563955	0.137880093330039	0.285029525603555	0.148432480417998	0.141021715260415	0	0	0.264379697131598	7713
PD26415c	0.0355050519295893	0	0.315715992091396	0	0.491649217848683	0	0.157129738130332	0	2540
PD26415g	0.0424835685122137	0	0.301969941140695	0	0.5033826710264	0	0.152163819320691	0	3172
PD26416d	0.0652296845474754	0.0333401356762166	0.531867721469245	0.143658661807824	0.13602581505601	0	0.0898779814432294	0	4038
PD26416e	0.0642777093474047	0.0378445094680903	0.574863989261348	0.123622812241359	0.1253752834947	0	0.0740156961870976	0	4222
PD26418a	0.0265410191235784	0.0219597710219814	0.501603021143753	0.240776931683819	0.209119257026868	0	0	0	6820
PD26418c	0.0267568972515928	0.0217331852958366	0.502301728458946	0.236829219265034	0.212378969728591	0	0	0	6802
PD26418d	0.0254245414416323	0.0245600805385244	0.515628770971702	0.232513386700079	0.201873220348062	0	0	0	7231
PD26418e	0.0241665377093536	0.0224189747899419	0.502334130389534	0.240912487729072	0.210167869382098	0	0	0	7386
PD26419a	0.0398971990417272	0.15796366670265	0.437195679897199	0.256028367075641	0	0.108915087282783	0	0	5755
PD26419c	0.0473190071150321	0.0920788998223188	0.436899081341691	0.31325630946341	0	0.110446702257549	0	0	2552
PD26419d	0.0393904141198576	0.148304175617858	0.464750316363458	0.253182239348107	0	0.0943728545507188	0	0	10010
PD26420a	0.0521549337028335	0.0450516353083554	0.479763128931267	0.227817173440425	0.195213128617118	0	0	0	3289
