A.C.A.A	A.C.A.C	A.C.A.G	A.C.A.T	C.C.A.A	C.C.A.C	C.C.A.G	C.C.A.T	G.C.A.A	G.C.A.C	G.C.A.G	G.C.A.T	T.C.A.A	T.C.A.C	T.C.A.G	T.C.A.T	A.C.G.A	A.C.G.C	A.C.G.G	A.C.G.T	C.C.G.A	C.C.G.C	C.C.G.G	C.C.G.T	G.C.G.A	G.C.G.C	G.C.G.G	G.C.G.T	T.C.G.A	T.C.G.C	T.C.G.G	T.C.G.T	A.C.T.A	A.C.T.C	A.C.T.G	A.C.T.T	C.C.T.A	C.C.T.C	C.C.T.G	C.C.T.T	G.C.T.A	G.C.T.C	G.C.T.G	G.C.T.T	T.C.T.A	T.C.T.C	T.C.T.G	T.C.T.T	A.T.A.A	A.T.A.C	A.T.A.G	A.T.A.T	C.T.A.A	C.T.A.C	C.T.A.G	C.T.A.T	G.T.A.A	G.T.A.C	G.T.A.G	G.T.A.T	T.T.A.A	T.T.A.C	T.T.A.G	T.T.A.T	A.T.C.A	A.T.C.C	A.T.C.G	A.T.C.T	C.T.C.A	C.T.C.C	C.T.C.G	C.T.C.T	G.T.C.A	G.T.C.C	G.T.C.G	G.T.C.T	T.T.C.A	T.T.C.C	T.T.C.G	T.T.C.T	A.T.G.A	A.T.G.C	A.T.G.G	A.T.G.T	C.T.G.A	C.T.G.C	C.T.G.G	C.T.G.T	G.T.G.A	G.T.G.C	G.T.G.G	G.T.G.T	T.T.G.A	T.T.G.C	T.T.G.G	T.T.G.T
PD26419a_chr1_1	1	1	0	3	4	1	1	1	0	0	0	0	1	2	0	3	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	3	0	0	0	1	0	0	2	2	0	1	2	0	8	1	0	8	0	0	0	1	0	2	1	0	0	0	1	0	3	0	1	1	0	1	0	1	0	0	0	3	0	0	0	0	0	2	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	2	0	1
PD26419a_chr1_2	1	1	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	1	0	1	2	0	1	2	1	2	1	7	1	0	4	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
PD26423e_chr1_2	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	3	1	1	0	1	1	0	2	0	0	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1	1	1	2	0	1	0	1	0	0	1	1	1	0	2	0	2	0	1	0	0	0	1	0	0	1	2	0	0	0	2	0	0	0	0
PD26423e_chr1_1	1	1	0	0	2	0	1	0	2	0	1	1	2	4	0	3	1	1	1	1	0	0	0	0	1	0	0	1	1	1	0	0	2	1	4	5	1	6	4	1	2	0	4	4	3	3	1	7	0	0	0	0	0	1	1	2	0	0	0	1	1	0	0	1	1	1	1	0	0	0	1	2	1	0	0	0	1	1	2	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1
PD26411c_chr1_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
PD26411c_chr1_1	2	0	0	1	0	0	0	1	1	1	0	0	2	0	0	4	2	0	1	0	1	1	0	0	0	0	0	2	0	2	0	4	1	0	4	3	0	0	2	2	1	0	8	0	2	0	1	2	1	1	1	0	0	1	2	0	1	1	0	1	2	0	1	1	3	0	1	3	1	0	0	0	2	1	1	2	1	3	0	0	1	0	0	1	1	0	0	1	0	0	2	0	1	1	1	1
PD26411c_chr10_1	0	1	1	3	0	2	0	4	0	0	0	0	1	0	0	0	2	1	0	0	1	0	1	0	0	2	0	0	1	1	0	0	2	0	2	2	1	0	2	2	0	1	2	3	0	2	2	3	1	0	1	0	1	1	0	0	0	0	0	0	2	1	0	0	2	0	1	2	1	0	0	1	0	2	1	2	1	1	1	1	0	0	0	0	1	0	0	1	1	0	0	0	0	1	2	0
PD26404a_chr10_2	1	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	1	0	0	2	2	3	1	2	1	0	0	2	1	2	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	2	2	0	0	0	2	0	1	0	1	1	1	0	1	2	0	0	1	0	0	0	1	0	0	0	1	4	0	0	1
PD26411c_chr10_2	0	0	0	1	0	0	0	2	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	2	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	1	0	1	0	2	0	0	0	1	0	0	0	0	0	1	1	2	0	0	0	3	1	0	1	2
PD26404a_chr10_1	0	0	0	1	1	2	0	0	0	0	0	0	3	1	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	3	1	1	2	2	5	1	2	3	1	0	2	3	2	2	2	4	1	0	0	0	1	0	1	0	0	0	1	1	2	0	0	2	2	1	1	3	0	0	1	0	3	3	0	0	1	2	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
PD26403a_chr12_2	0	0	0	0	0	2	0	1	3	0	0	3	0	2	1	1	1	0	0	0	0	0	0	0	0	2	0	1	1	0	0	1	0	0	3	2	1	1	4	0	0	2	2	2	0	0	3	2	1	0	0	1	0	0	2	1	0	0	0	0	2	0	0	0	4	0	1	2	0	2	0	0	3	0	0	1	2	2	0	2	2	0	0	3	0	1	0	2	1	0	0	0	2	0	2	5
