Signature.Subs.01	Signature.Subs.02	Signature.Subs.05	Signature.Subs.08	Signature.Subs.09	Signature.Subs.13	Signature.Subs.18	MM1	mutations
MMRC02G7BM_2	0.0000000000000000000000096461513849951	0.101135822559485	0.490087175815368	0.20044606803686	0.208330933588287	0	0	0	233
MMRC02G7BM_1	0.000152830133421762	0.100096646242691	0.439196997489224	0.244596419993248	0.215957106141415	0	0	0	340
PD26400_1	0.0445446765895573	0.037476766326151	0.472075343349926	0.226485276582259	0.219417937152107	0	0	0	1250
PD26400_2	0.027432686647786	0	0.405399282964691	0	0.567168030387524	0	0	0	436
PD26423_2	0.0638540119646876	0	0.445031665602811	0	0.351193238678221	0	0.139921083754281	0	294
PD26400_subclonal	0.0304260278576068	0.116035068132569	0.584877122236307	0.268661781773517	0	0	0	0	807
PD26423_subclonal	0.0118951867306404	0.0536176867068426	0.146100918050299	0.170018071367096	0.202102118021483	0	0	0.41626601912364	1958
PD26423_1	0.0595133864920163	0.0586975160243763	0.65497410683966	0.0998668849328247	0	0	0.126948105711122	0	840
PD26419_subclonal	0.0284273033521377	0.143359671042831	0.527463245949115	0.240511718644653	0	0.0602380610112631	0	0	711
PD26419_1	0.029188376723489	0.173379876747933	0.399482498060347	0.26374131028548	0	0.134207938182752	0	0	639
PD26419_2	0.0643764652217697	0.200633640587566	0.508246228169446	0.137797590127462	0	0.0889460758937557	0	0	220
MMRC01YHBM_1	0.0843905915123328	0.0375828711909677	0.543685197015474	0	0.22979102014067	0	0.104550320140555	0	851
MMRC01YHBM_2	0.114072425507505	0	0.4431908600701	0	0.290839468939684	0	0.151897245482711	0	232
MMRC006BBM_2	0.0446968031512522	0.205120244251022	0.402902993357519	0.255524561934804	0	0.0917553973054025	0	0	1320
MMRC006BBM_1	0.0100939336588976	0.328500708579942	0.474621018290905	0	0	0.186784339470256	0	0	4410
PD26403_1	0.0896636175387971	0	0.563936552574528	0.134095060799395	0.212304769087281	0	0	0	941
PD26403_subclonal	0.015560140486285	0	0.433183623193774	0.20923788069224	0.136271995745604	0	0	0.205746359882097	1694
PD26403_2	0.102366277261189	0	0.419597119329607	0	0.478036603409205	0	0	0	427
PD26408_subclonal	0.102862058003318	0.0624495100433339	0.563332174828176	0.271356257125172	0	0	0	0	572
PD26408_1	0.116158851035178	0.0435361219998752	0.350464812927021	0.16559847275037	0.324241741287556	0	0	0	432
PD26408_2	0.102786374890534	0	0.291208869504152	0.132255402057604	0.47374935354771	0	0	0	333
PD26412_2	0.0779936243484122	0	0.272589009942491	0.126605203419598	0.522812162289498	0	0	0	572
PD26412_subclonal	0.0363515226007725	0.0783179111255525	0.465546959876049	0.233938969766989	0	0	0	0.185844636630637	2399
PD26411_subclonal	0.0298686339883094	0.0459458746396847	0.283615140193164	0.216033574510022	0.155455575772067	0	0	0.269081200896752	2120
PD26411_1	0.0763597944691633	0.0369595001178818	0.429823378640983	0.146529405926457	0.214759870730493	0	0	0.0955680501150216	1074
PD26411_2	0.085572017758052	0.0445649194096529	0.178187535830968	0.124895202043767	0.56678032495756	0	0	0	395
V0D57M_1	0.0503507423789098	0.0987189644159129	0.556569208544885	0.119556588643949	0.174804496016344	0	0	0	1047
V0D57M_2	0.0655954155205086	0	0.511492643157019	0	0.422911941322472	0	0	0	242
PD26435_subclonal	0.0160678038383885	0.0258873388237165	0.552204875775147	0.372250024611458	0	0.0335899569512905	0	0	765
PD26435_1	0.0111060021470059	0.0221881881818666	0.614599997746765	0.352105811924363	0	0	0	0	999
PD26435_2	0.0393815995912517	0	0.379236290658255	0.302909602395627	0.278472507354866	0	0	0	280
PD26412_1	0.015957453000446	0.0451546659990209	0.485084779873471	0.192254680811231	0.261548420315831	0	0	0	225
V0D583_1	0.0232304306505137	0.0577611432880845	0.436916339173132	0.275379173850193	0.206712913038077	0	0	0	290
V0D583_2	0.0419783046260948	0	0.546178034894279	0.0926300709567854	0.319213589522841	0	0	0	129
MMRC0244BM_2	0.0895220327728383	0	0.365629753997877	0	0.544848213229285	0	0	0	583
MMRC0244BM_subclonal	0.0000000000000000000000000270107725325606	0	0.521776854615025	0	0.478223145384975	0	0	0	157
MMRC0244BM_1	0.0573682532775702	0	0.534345900117297	0	0.408285846605133	0	0	0	1216
PD26404_2	0.0660026501167282	0	0.19346654144941	0.127824822225208	0.612705986208654	0	0	0	303
PD26404_1	0.0986751925088643	0.0431546664696831	0.50216895037334	0.131591403535079	0.224409787113034	0	0	0	923
PD26407_1	0.0569666889296146	0	0.563064850503614	0.143463271134944	0.236505189431827	0	0	0	444
PD26407_2	0.0899969320436927	0	0.200842794817367	0.155191470896616	0.553968802242325	0	0	0	217
PD26407_subclonal	0.0380057355878957	0	0.718961935005225	0.24303232940688	0	0	0	0	120
PD26410_2	0.0514604750233927	0.0339472295513639	0.345459388312453	0	0.47311090680346	0	0.0960220003093299	0	394
PD26410_1	0.0608527929168427	0.0832778610862105	0.567714881603156	0	0.166490485179148	0	0.121663979214642	0	1432
V0D57H_1	0.0031844570005066	0.0718467439207567	0.455327713813659	0.469641085265078	0	0	0	0	744
MMRC023ZBM_subclonal	0.00714734054587215	0.0542837955171579	0.237787490672456	0.301860300607693	0.274431193689494	0	0	0.124489878967327	391
MMRC023ZBM_1	0.025495308670601	0.051106901415991	0.278850746430655	0.149958009952488	0.183565983255068	0	0	0.311023050275196	1901
MMRC023ZBM_2	0.0739382174009741	0	0.607222260859723	0	0.193600495065871	0	0	0.125239026673432	184
V0D57H_2	0.00000000000000000000221235720449111	0.118600445992733	0.322665451015039	0.283756777082123	0.274977325910105	0	0	0	80
PD26429_1	0.0801395239351994	0.0553700797977367	0.689271822705369	0	0.175218573561694	0	0	0	878
PD26415_subclonal	0.0721420793416463	0	0.685107174826139	0	0.242750745832215	0	0	0	165
PD26415_1	0.0226085535467194	0	0.34386841957632	0	0.512283650891235	0	0.121239375985726	0	239
PD26415_2	0.0237889565937189	0	0.215309889720783	0	0.580837390433884	0	0.180063763251615	0	304
PD26429_2	0.0715917096879804	0	0.269309503102932	0	0.659098787209088	0	0	0	179
PD26416_2	0.0766514764467532	0	0.631843874688539	0	0.189200697867964	0	0.102303950996743	0	177
V0D56W_1	0.0165715048094963	0.129278968310482	0.443970349402311	0.161437131065832	0.198602843866488	0.050139202545392	0	0	964
V0D56W_subclonal	0.0133944001418741	0.0929277698712023	0.476062218250283	0.25078488814891	0.166830723587731	0	0	0	150
V0D56W_2	0.0887859195590933	0.0318865723585983	0.241151895289945	0.139750944556501	0.498424668235863	0	0	0	183
PD26416_1	0.0781919447376029	0.0393421512050034	0.624582440816002	0.257883463241392	0	0	0	0	624
PD26416_subclonal	0.0139425345995006	0.0187522628499114	0.762289478317568	0	0	0	0.20501572423302	0	574
PD26426_1	0.0528932727138758	0	0.604822219734045	0.186667197303921	0	0	0.155617310248158	0	2602
PD26426_2	0.0761515728240616	0	0.187519359174339	0	0.64001106701848	0	0.096318000983119	0	336
MMRC02GIBM_subclonal	0.0209555539065448	0.0810925156557091	0.32717420903129	0.188216012229887	0.38256170917657	0	0	0	145
MMRC02GIBM_2	0.0913849125969489	0	0.454078937960214	0	0.454536149442837	0	0	0	228
MMRC02GIBM_1	0.0485149202257644	0.0413436931482561	0.579839315655267	0	0.330302070970712	0	0	0	633
PD26426_subclonal	0.0000000000000298815920023584	0	0.186119647389537	0.327589536036939	0.254478266655858	0	0.231812549917636	0	112
PD26418_subclonal	0.0000000000000000000000000000000000724043514974489	0	0.597338892072567	0.28696418130775	0.115696926619684	0	0	0	179
MMRC00GABM_1	0.0580099785900004	0.0670381826841903	0.503479813537558	0.181526310779354	0.189945714408897	0	0	0	779
MMRC00GABM_subclonal	0.0121272295789043	0.0740022143089376	0.539387043315444	0.144962213735838	0.229521299060877	0	0	0	294
MMRC00GABM_2	0.0648881721757953	0	0.473629039382079	0	0.461482788442125	0	0	0	283
PD26418_2	0.00856513506178993	0	0.661826583218456	0.185043069267185	0.144565212452569	0	0	0	112
V0D58T_1	0.0296507280952159	0.0711100014674542	0.555438743226758	0	0	0	0.170562068870201	0.173238458340371	999
V0D58T_2	0.105019527072457	0.0342925001953717	0.282682782394845	0	0.477990883671103	0	0.100014306666223	0	203
V0D577_2	0.0364097908319486	0	0.260303345276949	0.266371637139066	0.391061339666236	0.0458538870858017	0	0	169
V0D577_subclonal	0.00000112984781132569	0.161273154315153	0.388447772972334	0.195422768541654	0.170510027083972	0.0843451472390761	0	0	57
V0D577_1	0.00935654135939627	0.0476516702777022	0.391773867209954	0.353411037158248	0.1978068839947	0	0	0	55
PD26424_1	0.031266280452592	0.0859262948282503	0.406312150156798	0.148292619085272	0.328202655477087	0	0	0	1267
PD26424_2	0.027765853650859	0.0345869717698712	0.160266068144454	0	0.777381106434816	0	0	0	532
PD26424_subclonal	0.0126294445825641	0.0850481945904289	0.506542437404104	0.232084898585076	0.163695024837827	0	0	0	228
PD26409_2	0.131245403221596	0	0.214704778646211	0.121346229157903	0.53270358897429	0	0	0	122
PD26409_subclonal	0.0389524833064733	0.0933965175264034	0.664596079686807	0.203054919480316	0	0	0	0	161
PD26409_1	0.0323819831642364	0.0445702521609112	0.595360256832177	0.159367281185494	0.168320226657182	0	0	0	555
MMRC01Q1BM_1	0.0341746847297643	0.0396009804985056	0.52270861321654	0.177794280772766	0.225721440782424	0	0	0	1043
MMRC01Q1BM_2	0.0513591113994647	0	0.403453023142784	0.119900292084286	0.425287573373465	0	0	0	300
PD26432_2	0.0732906893658947	0	0.163140582454389	0	0.763568728179716	0	0	0	592
PD26432_1	0.0782904269132882	0	0.290955917146209	0.11904168724162	0.511711968698883	0	0	0	856
PD26432_subclonal	0.0161093379537527	0.0559985243755193	0.730204797492888	0.19768734017784	0	0	0	0	164
