Signature.Subs.01	Signature.Subs.02	Signature.Subs.05	Signature.Subs.08	Signature.Subs.09	Signature.Subs.13	Signature.Subs.18	MM1	mutations
MMRC006BBM_1_chr1_chr1-768253-107332554-gain	0.0211328766653192	0.32708781123346	0.470524906466062	0	0	0.181254405635159	0	0	440
MMRC006BBM_2_chr1_chr1-768253-107332554-gain	0.0437820208737778	0.174803054826552	0.451272599773011	0.228978541578235	0	0.101163782948424	0	0	84
MMRC006BBM_1_chr1_chr1-149187101-226659349-gain_2	0.00261641202163581	0.384050281241497	0.444327722314859	0	0	0.169005584422008	0	0	411
MMRC006BBM_2_chr1_chr1-149187101-226659349-gain_2	0.0137552594778585	0.0541934489387518	0.554112875710979	0.377938415872411	0	0	0	0	42
PD26419_2_chr1_chr1-121346913-249172187-gain_2	0.0963509629285404	0.205711750359717	0.386436730450008	0.173508208459983	0	0.137992347801752	0	0	108
PD26419_1_chr1_chr1-121346913-249172187-gain_2	0.0599017799809384	0.177686546488141	0.378958723157746	0.194536036102413	0	0.188916914270761	0	0	180
MMRC02G7BM_1_chr1_chr1-120487871-249172187-gain	0.0000543461432071333	0.103524718355225	0.467442985401498	0.245836207086922	0.183141743013148	0	0	0	321
MMRC02G7BM_2_chr1_chr1-120487871-249172187-gain	0.0000000000000000585849325588716	0.102916734498221	0.73924466671363	0.157838598788149	0	0	0	0	54
V0D583_1_chr1_chr1-145383170-249156121-gain	0.040930591685871	0.0508091559465956	0.482986897188026	0.245505590586864	0.179767764592643	0	0	0	125
V0D583_2_chr1_chr1-145383170-249156121-gain	0.274223883782981	0	0.725776116217019	0	0	0	0	0	19
PD26400_3_chr1_chr1-120848685-249223485-gain_2	0.0693690138057733	0	0.383628806162586	0	0.547002180031641	0	0	0	51
PD26400_1_chr1_chr1-120848685-249223485-gain_2	0.0585102774715834	0.0681795231893919	0.394613439978139	0.173352031941427	0.305344727419459	0	0	0	154
PD26400_2_chr1_chr1-120848685-249223485-gain_2	0.000000000606902310712627	0	0.836019762368996	0.163980237024101	0	0	0	0	30
V0D57M_1_chr1_chr1-160821549-195932954-gain	0.0271346252881846	0.121090785386493	0.851774589325322	0	0	0	0	0	55
V0D57M_2_chr1_chr1-160821549-195932954-gain	0.0803235630404581	0	0.542511669029548	0	0.377164767929994	0	0	0	22
MMRC0244BM_1_chr1_chr1-145531015-226229847-gain	0.0388014106396196	0	0.565731880496163	0	0.395466708864217	0	0	0	107
MMRC0244BM_2_chr1_chr1-145531015-226229847-gain	0.124865508212047	0	0.481626725132972	0	0.393507766654981	0	0	0	44
PD26435_2_chr1_chr1-121321866-249201268-gain	0.0404167740608244	0	0.435807688432312	0.354549788702952	0.169225748803912	0	0	0	48
PD26435_1_chr1_chr1-121321866-249201268-gain	0.00140126485655893	0	0.800160286787641	0.198438448355801	0	0	0	0	142
PD26403_1_chr1_chr1-145376198-249201480-gain	0.0627581710775186	0	0.589923343436822	0.126246669118873	0.221071816366786	0	0	0	148
PD26403_2_chr1_chr1-145376198-249201480-gain	0.130582272520384	0	0.0891378593179989	0.159614190521954	0.620665677639664	0	0	0	58
PD26419_1_chr1_chr1-802026-99970712-LOH	0.0349712143906497	0.210387790166689	0.31001320430478	0.359069637969283	0	0.0855581531685979	0	0	74
PD26419_2_chr1_chr1-802026-99970712-LOH	0.0589861305256025	0.257140524221733	0.561828480586089	0.122044864666575	0	0	0	0	42
PD26411_1_chr1_chr1-144896319-249200985-gain	0.118157614407834	0.0514842694008349	0.211230445588698	0.186871498273193	0.281982476137903	0	0	0.150273696191537	102
PD26411_2_chr1_chr1-144896319-249200985-gain	0.0362164516866815	0.11930099325105	0.201028127120761	0	0.643454427941508	0	0	0	30
PD26411_1_chr1_chr1-762601-121324542-LOH	0.150817521950695	0	0.538044067073116	0.144832760534513	0.166305650441676	0	0	0	92
PD26411_2_chr1_chr1-762601-121324542-LOH	0.0686057229603113	0	0.931394277039689	0	0	0	0	0	21
PD26408_1_chr1_chr1-144896319-249172187-gain	0.194856391903514	0	0.34134836252053	0.0880668643876652	0.375728381188291	0	0	0	59
PD26408_2_chr1_chr1-144896319-249172187-gain	0.12103313511035	0	0.293097471941796	0.127466805611007	0.458402587336847	0	0	0	61
MMRC01YHBM_1_chr1_chr1-145389264-249203006-gain	0.0327046815286798	0.0594968201930492	0.521418309242711	0	0.38638018903556	0	0	0	65
MMRC01YHBM_2_chr1_chr1-145389264-249203006-gain	0.111440790757739	0.0317304197025916	0.49622608887394	0	0.360602700665729	0	0	0	33
PD26412_2_chr1_chr1-145396435-249208772-gain_3	0.000000260118874027153	0	0.999999739881126	0	0	0	0	0	25
PD26412_1_chr1_chr1-145396435-249208772-gain_3	0.0133633330685163	0.0369344119203973	0.3365370532772	0	0.439674526250411	0	0	0.173490675483476	26
PD26412_3_chr1_chr1-145396435-249208772-gain_3	0.0205664040033753	0	0.118736598967835	0	0.86069699702879	0	0	0	35
PD26423_2_chr1_chr1-828166-249214082-LOH	0.053483292801871	0	0.585346804203673	0	0.361169902994456	0	0	0	41
PD26423_1_chr1_chr1-828166-249214082-LOH	0.105756754336855	0.0834492127584824	0.61684237126664	0	0	0	0.193951661638023	0	97
MMRC006BBM_1_chr10_chr10-20000428-135235890-gain	0.00884840589764741	0.291027781284307	0.497230479249139	0	0	0.202893333568906	0	0	504
MMRC006BBM_2_chr10_chr10-20000428-135235890-gain	0.0871096808983522	0	0.517725992230033	0.395164326871615	0	0	0	0	56
PD26411_2_chr10_chr10-93528-135235890-LOH	0.000000000304512147380749	0	0.108068932465093	0.205169238083324	0.686761829147071	0	0	0	37
PD26404_1_chr10_chr10-94426-135235890-LOH	0.0627153354799897	0.0441649785052367	0.893119686014774	0	0	0	0	0	78
PD26404_2_chr10_chr10-94426-135235890-LOH	0.0587935797369501	0	0.53573867748843	0	0.40546774277462	0	0	0	52
PD26411_1_chr10_chr10-93528-135235890-LOH	0.0725911005448135	0	0.767774527453872	0.159634372001314	0	0	0	0	74
PD26435_1_chr11_chr11-196944-134891193-gain	0.0232071931467214	0.0359318977750833	0.62245426701258	0.318406642065615	0	0	0	0	242
PD26429_1_chr11_chr11-199813-134940252-gain	0.097588699620698	0	0.634131839762467	0	0.268279460616835	0	0	0	236
MMRC0244BM_1_chr11_chr11-202072-120083271-gain	0.050951123393829	0	0.481386837795162	0	0.467662038811009	0	0	0	156
MMRC0244BM_2_chr11_chr11-202072-120083271-gain	0.0340531472257957	0	0.168533331798363	0	0.797413520975842	0	0	0	83
MMRC023ZBM_2_chr11_chr11-74648411-131468095-gain_2	0.0124131629457114	0.0490984200346505	0.620137052311908	0	0	0	0	0.31835136470773	72
PD26435_2_chr11_chr11-196944-134891193-gain	0.0645215338836074	0	0.38522034293408	0.19008039789736	0.360177725284953	0	0	0	68
PD26429_2_chr11_chr11-199813-134940252-gain	0.0532170824660879	0.0495345803137417	0.176078073921963	0	0.721170263298208	0	0	0	43
PD26416_1_chr11_chr11-50094680-134939568-gain	0.0956872704727595	0	0.813131352319608	0	0	0	0.0911813772076327	0	64
MMRC023ZBM_1_chr11_chr11-74648411-131468095-gain_2	0.0154048105825301	0.0377197737587827	0.597938409679564	0	0.114826059527322	0	0	0.234110946451801	117
MMRC01YHBM_1_chr11_chr11-302191-134944160-gain	0.0652120472718017	0.0670175311501868	0.754317671901037	0	0.113452749676975	0	0	0	116
PD26426_1_chr11_chr11-196944-134945765-gain	0.0652608939075349	0	0.566244163179837	0.167099912136453	0	0	0.201395030776175	0	445
PD26426_2_chr11_chr11-196944-134945765-gain	0.132567710777499	0	0.165734826862549	0	0.574772615918618	0	0.126924846441334	0	58
PD26416_2_chr11_chr11-50094680-134939568-gain	0.00650451691304658	0	0.923659917924295	0	0	0	0.0698355651626579	0	18
MMRC023ZBM_1_chr11_chr11-51192870-74620897-gain	0.00000390411413967953	0	0.665594094980593	0	0	0	0	0.334402000905268	52
MMRC01YHBM_2_chr11_chr11-302191-134944160-gain	0.113433551914982	0	0.886566448085017	0	0	0	0	0	41
PD26404_1_chr11_chr11-202072-134939568-gain	0.109224217055116	0.029079390864394	0.374636634261054	0.179304554454187	0.30775520336525	0	0	0	186
MMRC00GABM_1_chr11_chr11-198986-134775317-gain	0.068291912865449	0.0845958435275936	0.465324713898278	0.189344701781267	0.192442827927412	0	0	0	153
PD26415_2_chr11_chr11-198986-134927519-gain	0.0695758617457885	0	0.0760191875823533	0	0.542769391490998	0	0.31163555918086	0	69
MMRC00GABM_2_chr11_chr11-198986-134775317-gain	0.017549035145488	0	0.366951875872388	0	0.615499088982124	0	0	0	72
PD26415_1_chr11_chr11-198986-134927519-gain	0.0453906734037177	0	0.240346739060365	0	0.615133122024159	0	0.0991294655117583	0	79
PD26418_1_chr11_chr11-69443822-113817468-gain_3	0.057836094604127	0	0.424251377988517	0.257331131602129	0.260581395805226	0	0	0	30
PD26404_2_chr11_chr11-202072-134939568-gain	0.0142798511456023	0.0579419584649191	0.00385788498579813	0.19439954715742	0.729520758246261	0	0	0	70
PD26408_1_chr11_chr11-196944-80595045-gain	0.178878429381172	0	0.593938872481505	0	0.227182698137323	0	0	0	60
V0D57H_1_chr11_chr11-97481883-104974826-gain	0.012222402516425	0	0.177425343906582	0.514800479998364	0.295551773578629	0	0	0	47
V0D57H_2_chr11_chr11-97481883-104974826-gain	0.0000000000000000000000000000000000000000000820728956170234	0.193723236606949	0.0000144778082469785	0	0.806262285584804	0	0	0	5
PD26407_1_chr11_chr11-197557-134945797-gain	0.0367857516359337	0	0.607474596783413	0.164800397012799	0.190939254567854	0	0	0	89
V0D57H_2_chr11_chr11-69448294-91721514-gain	0.0497486557253798	0.115688356741763	0.38393826888264	0	0.450624718650217	0	0	0	11
V0D57H_1_chr11_chr11-69448294-91721514-gain	0.00133229896814186	0.108067767333547	0.251832368422175	0.415300594723342	0.223466970552794	0	0	0	98
PD26418_2_chr11_chr11-69443822-113817468-gain_3	0.00000000000000000000533625510289119	0	0.788784567564155	0.211215432435845	0	0	0	0	19
PD26418_3_chr11_chr11-69443822-113817468-gain_3	0.059690868116622	0.0460764090606392	0.405300936306144	0.305874864934126	0.183056921582469	0	0	0	34
